Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 4875700.00, 22044, Nanosegundos
gpp::aabbOverlap, 4564100.00, 25780, Nanosegundos
gpp::collisionBoxSphere, 1039100.00, 1058, Nanosegundos
gpp::degrees_to_radians, 500.00, 6, Nanosegundos
gpp::getCollisionId, 452500.00, 1058, Nanosegundos
gpp::gpp_world::addBody, 20500.00, 2, Nanosegundos
gpp::gpp_world::broadPhase, 69062496.00, 1924, Nanosegundos
gpp::gpp_world::dispatchCollisions, 1207800.00, 1924, Nanosegundos
gpp::gpp_world::integrateBodies, 36522400.00, 1924, Nanosegundos
gpp::gpp_world::internalUpdate, 158310000.00, 1924, Nanosegundos
gpp::gpp_world::narrowPhase, 2751200.00, 1924, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 12397700.00, 1924, Nanosegundos
gpp::gpp_world::solveCollisions, 12174700.00, 1924, Nanosegundos
gpp::gpp_world::solvePair, 10400100.00, 1062, Nanosegundos
gpp::octree::broadPhase, 66230300.00, 1924, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 46539300.00, 3848, Nanosegundos
gpp::octree::create, 20300.00, 1, Nanosegundos
gpp::octree::insert, 18500.00, 2, Nanosegundos
gpp::octree::traverse, 85513904.00, 2984, Nanosegundos
