Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 5333000.00, 24134, Nanosegundos
gpp::aabbOverlap, 4632500.00, 26660, Nanosegundos
gpp::collisionBoxSphere, 1004600.00, 1168, Nanosegundos
gpp::degrees_to_radians, 300.00, 6, Nanosegundos
gpp::getCollisionId, 496500.00, 1168, Nanosegundos
gpp::gpp_world::addBody, 17700.00, 2, Nanosegundos
gpp::gpp_world::broadPhase, 67011400.00, 1924, Nanosegundos
gpp::gpp_world::dispatchCollisions, 1291200.00, 1924, Nanosegundos
gpp::gpp_world::integrateBodies, 37617500.00, 1924, Nanosegundos
gpp::gpp_world::internalUpdate, 158873504.00, 1924, Nanosegundos
gpp::gpp_world::narrowPhase, 3298700.00, 1924, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 12881200.00, 1924, Nanosegundos
gpp::gpp_world::solveCollisions, 13436300.00, 1924, Nanosegundos
gpp::gpp_world::solvePair, 11419900.00, 1172, Nanosegundos
gpp::octree::broadPhase, 64420000.00, 1924, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 45655200.00, 3848, Nanosegundos
gpp::octree::create, 4400.00, 1, Nanosegundos
gpp::octree::insert, 15400.00, 2, Nanosegundos
gpp::octree::traverse, 85278096.00, 3094, Nanosegundos
