Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 4108600.00, 17985, Nanosegundos
gpp::aabbOverlap, 4401400.00, 24059, Nanosegundos
gpp::collisionBoxSphere, 753900.00, 844, Nanosegundos
gpp::degrees_to_radians, 500.00, 6, Nanosegundos
gpp::getCollisionId, 363500.00, 844, Nanosegundos
gpp::gpp_world::addBody, 44200.00, 2, Nanosegundos
gpp::gpp_world::broadPhase, 70153200.00, 1923, Nanosegundos
gpp::gpp_world::dispatchCollisions, 1220900.00, 1923, Nanosegundos
gpp::gpp_world::integrateBodies, 30091000.00, 1923, Nanosegundos
gpp::gpp_world::internalUpdate, 150500096.00, 1923, Nanosegundos
gpp::gpp_world::narrowPhase, 2385600.00, 1923, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 12960800.00, 1923, Nanosegundos
gpp::gpp_world::solveCollisions, 9585700.00, 1923, Nanosegundos
gpp::gpp_world::solvePair, 8243200.00, 848, Nanosegundos
gpp::octree::broadPhase, 67302200.00, 1923, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 46409400.00, 3846, Nanosegundos
gpp::octree::create, 13600.00, 1, Nanosegundos
gpp::octree::insert, 39400.00, 2, Nanosegundos
gpp::octree::traverse, 81143200.00, 2769, Nanosegundos
