Info: Vdir: 0.000000:0.000000:0.000000, fa:0, fa2:0.000000:0.000000:0.000000
Info: Vdir: 0.999604:-0.019894:-0.019894, fa:3.0814724, fa2:3.080253:-0.061304:-0.061304
Info: Vdir: 0.999578:-0.020547:-0.020547, fa:3.1657627, fa2:3.164426:-0.065046:-0.065046
Info: Vdir: 0.999550:-0.021207:-0.021207, fa:3.2501287, fa2:3.248667:-0.068925:-0.068925
Info: Vdir: 0.999521:-0.021874:-0.021874, fa:3.3345292, fa2:3.332934:-0.072941:-0.072941
Info: Vdir: 0.999492:-0.022549:-0.022549, fa:3.418922, fa2:3.417184:-0.077094:-0.077094
Info: Vdir: 0.999460:-0.023231:-0.023231, fa:3.503268, fa2:3.501377:-0.081385:-0.081385
Info: Vdir: 0.999428:-0.023920:-0.023920, fa:3.587528, fa2:3.585475:-0.085813:-0.085813
Info: Vdir: 0.999394:-0.024615:-0.024615, fa:3.6716645, fa2:3.669440:-0.090379:-0.090379
Info: Vdir: 0.999359:-0.025317:-0.025317, fa:3.75564, fa2:3.753232:-0.095082:-0.095082
Info: Vdir: 0.999322:-0.026026:-0.026026, fa:3.8394198, fa2:3.836818:-0.099923:-0.099923
Info: Vdir: 0.999285:-0.026740:-0.026740, fa:3.922969, fa2:3.920163:-0.104901:-0.104901
Info: Vdir: 0.999246:-0.027461:-0.027461, fa:4.0062537, fa2:4.003232:-0.110016:-0.110016
Info: Vdir: 0.999205:-0.028188:-0.028188, fa:4.0892434, fa2:4.085993:-0.115266:-0.115266
Info: Vdir: 0.999163:-0.028920:-0.028920, fa:4.171906, fa2:4.168416:-0.120651:-0.120651
Info: Vdir: 0.999120:-0.029658:-0.029658, fa:4.254211, fa2:4.250468:-0.126170:-0.126170
Info: Vdir: 0.999075:-0.030401:-0.030401, fa:4.3361306, fa2:4.332122:-0.131822:-0.131822
Info: Vdir: 0.999029:-0.031149:-0.031149, fa:4.4176364, fa2:4.413349:-0.137605:-0.137605
Info: Vdir: 0.998982:-0.031902:-0.031902, fa:4.4987025, fa2:4.494122:-0.143520:-0.143520
Info: Vdir: 0.998933:-0.032661:-0.032661, fa:4.5793037, fa2:4.574417:-0.149563:-0.149563
Info: Vdir: 0.998882:-0.033424:-0.033424, fa:4.6594157, fa2:4.654208:-0.155735:-0.155735
Info: Vdir: 0.998830:-0.034191:-0.034191, fa:4.7390146, fa2:4.733472:-0.162032:-0.162032
Info: Vdir: 0.998777:-0.034963:-0.034963, fa:4.818079, fa2:4.812186:-0.168454:-0.168454
Info: Vdir: 0.998722:-0.035739:-0.035739, fa:4.896587, fa2:4.890329:-0.174999:-0.174999
Info: Vdir: 0.998666:-0.036519:-0.036519, fa:4.9745193, fa2:4.967881:-0.181665:-0.181665
Info: Vdir: 0.998608:-0.037303:-0.037303, fa:5.0518575, fa2:5.044824:-0.188450:-0.188450
Info: Vdir: 0.998548:-0.038091:-0.038091, fa:5.1285825, fa2:5.121136:-0.195352:-0.195352
Info: Vdir: 0.998487:-0.038882:-0.038882, fa:5.2046785, fa2:5.196804:-0.202368:-0.202368
Info: Vdir: 0.998425:-0.039677:-0.039677, fa:5.28013, fa2:5.271811:-0.209498:-0.209498
Info: Vdir: 0.998361:-0.040475:-0.040475, fa:5.354921, fa2:5.346141:-0.216738:-0.216738
Info: Vdir: 0.998295:-0.041276:-0.041276, fa:5.429036, fa2:5.419780:-0.224087:-0.224087
Info: Vdir: 0.998228:-0.042080:-0.042080, fa:5.5024643, fa2:5.492713:-0.231541:-0.231541
Info: Vdir: 0.998159:-0.042886:-0.042886, fa:5.5751925, fa2:5.564929:-0.239099:-0.239099
Info: Vdir: 0.998089:-0.043696:-0.043696, fa:5.647211, fa2:5.636419:-0.246758:-0.246758
Info: Vdir: 0.998017:-0.044507:-0.044507, fa:5.7185082, fa2:5.707170:-0.254516:-0.254516
Info: Vdir: 0.997944:-0.045322:-0.045322, fa:5.789075, fa2:5.777173:-0.262371:-0.262371
Info: Vdir: 0.997869:-0.046138:-0.046138, fa:5.858902, fa2:5.846418:-0.270318:-0.270318
Info: Vdir: 0.997793:-0.046956:-0.046956, fa:5.927982, fa2:5.914897:-0.278357:-0.278357
Info: Vdir: 0.997715:-0.047777:-0.047777, fa:5.9963064, fa2:5.982605:-0.286485:-0.286485
Info: Vdir: 0.997635:-0.048599:-0.048599, fa:6.0638714, fa2:6.049533:-0.294698:-0.294698
Info: Vdir: 0.997554:-0.049423:-0.049423, fa:6.1306696, fa2:6.115677:-0.302994:-0.302994
Info: Vdir: 0.997472:-0.050248:-0.050248, fa:6.196696, fa2:6.181030:-0.311371:-0.311371
Info: Vdir: 0.997388:-0.051075:-0.051075, fa:6.2619476, fa2:6.245592:-0.319826:-0.319826
Info: Vdir: 0.997303:-0.051902:-0.051902, fa:6.3264203, fa2:6.309355:-0.328356:-0.328356
