Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 86166600.00, 484462, Nanosegundos
gpp::aabbOverlap, 99228704.00, 606918, Nanosegundos
gpp::collisionBoxSphere, 7406500.00, 23463, Nanosegundos
gpp::degrees_to_radians, 2800.00, 63, Nanosegundos
gpp::getCollisionId, 4342700.00, 23463, Nanosegundos
gpp::gpp_world::addBody, 180900.00, 21, Nanosegundos
gpp::gpp_world::broadPhase, 686521216.00, 1923, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2612400.00, 1923, Nanosegundos
gpp::gpp_world::integrateBodies, 388924288.00, 1923, Nanosegundos
gpp::gpp_world::internalUpdate, 1379237376.00, 1923, Nanosegundos
gpp::gpp_world::narrowPhase, 29656600.00, 1923, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 40470300.00, 1923, Nanosegundos
gpp::gpp_world::solveCollisions, 204635808.00, 1923, Nanosegundos
gpp::gpp_world::solvePair, 188642400.00, 23539, Nanosegundos
gpp::octree::broadPhase, 683782720.00, 1923, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 643600576.00, 40383, Nanosegundos
gpp::octree::create, 4600.00, 1, Nanosegundos
gpp::octree::insert, 166200.00, 21, Nanosegundos
gpp::octree::traverse, 963244224.00, 25407, Nanosegundos
