Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 59504000.00, 415013, Nanosegundos
gpp::aabbOverlap, 80258304.00, 575780, Nanosegundos
gpp::collisionBoxSphere, 5176500.00, 19816, Nanosegundos
gpp::degrees_to_radians, 3300.00, 63, Nanosegundos
gpp::getCollisionId, 2701800.00, 19816, Nanosegundos
gpp::gpp_world::addBody, 134100.00, 21, Nanosegundos
gpp::gpp_world::broadPhase, 571255872.00, 1914, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2408000.00, 1914, Nanosegundos
gpp::gpp_world::integrateBodies, 281976288.00, 1914, Nanosegundos
gpp::gpp_world::internalUpdate, 1093922304.00, 1914, Nanosegundos
gpp::gpp_world::narrowPhase, 20976500.00, 1914, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 47295400.00, 1914, Nanosegundos
gpp::gpp_world::solveCollisions, 144932608.00, 1914, Nanosegundos
gpp::gpp_world::solvePair, 133534800.00, 19896, Nanosegundos
gpp::octree::broadPhase, 568639104.00, 1914, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 531288800.00, 40194, Nanosegundos
gpp::octree::create, 4600.00, 1, Nanosegundos
gpp::octree::insert, 120500.00, 21, Nanosegundos
gpp::octree::traverse, 763171968.00, 21751, Nanosegundos
