Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 82233000.00, 470780, Nanosegundos
gpp::aabbOverlap, 96329800.00, 601360, Nanosegundos
gpp::collisionBoxSphere, 7388500.00, 22741, Nanosegundos
gpp::degrees_to_radians, 2600.00, 63, Nanosegundos
gpp::getCollisionId, 4071000.00, 22741, Nanosegundos
gpp::gpp_world::addBody, 130000.00, 21, Nanosegundos
gpp::gpp_world::broadPhase, 672218496.00, 1924, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2471500.00, 1924, Nanosegundos
gpp::gpp_world::integrateBodies, 370882400.00, 1924, Nanosegundos
gpp::gpp_world::internalUpdate, 1334691328.00, 1924, Nanosegundos
gpp::gpp_world::narrowPhase, 28816200.00, 1924, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 35313600.00, 1924, Nanosegundos
gpp::gpp_world::solveCollisions, 201042704.00, 1924, Nanosegundos
gpp::gpp_world::solvePair, 185143392.00, 22818, Nanosegundos
gpp::octree::broadPhase, 669641792.00, 1924, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 629385216.00, 40404, Nanosegundos
gpp::octree::create, 5200.00, 1, Nanosegundos
gpp::octree::insert, 117200.00, 21, Nanosegundos
gpp::octree::traverse, 937238976.00, 24686, Nanosegundos
