Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 80389504.00, 481150, Nanosegundos
gpp::aabbOverlap, 91440200.00, 605946, Nanosegundos
gpp::collisionBoxSphere, 7046800.00, 23287, Nanosegundos
gpp::degrees_to_radians, 2800.00, 63, Nanosegundos
gpp::getCollisionId, 4095300.00, 23287, Nanosegundos
gpp::gpp_world::addBody, 112700.00, 21, Nanosegundos
gpp::gpp_world::broadPhase, 648267072.00, 1925, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2609000.00, 1925, Nanosegundos
gpp::gpp_world::integrateBodies, 375087488.00, 1925, Nanosegundos
gpp::gpp_world::internalUpdate, 1308713728.00, 1925, Nanosegundos
gpp::gpp_world::narrowPhase, 28087900.00, 1925, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 37586800.00, 1925, Nanosegundos
gpp::gpp_world::solveCollisions, 193202704.00, 1925, Nanosegundos
gpp::gpp_world::solvePair, 177833200.00, 23364, Nanosegundos
gpp::octree::broadPhase, 645830080.00, 1925, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 605756672.00, 40425, Nanosegundos
gpp::octree::create, 3800.00, 1, Nanosegundos
gpp::octree::insert, 100900.00, 21, Nanosegundos
gpp::octree::traverse, 914616896.00, 25233, Nanosegundos
