Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 117610200.00, 698052, Nanosegundos
gpp::aabbOverlap, 171743296.00, 1180005, Nanosegundos
gpp::collisionBoxSphere, 9621600.00, 33685, Nanosegundos
gpp::degrees_to_radians, 4900.00, 93, Nanosegundos
gpp::getCollisionId, 5209700.00, 33685, Nanosegundos
gpp::gpp_world::addBody, 204000.00, 31, Nanosegundos
gpp::gpp_world::broadPhase, 1124063232.00, 1925, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2884300.00, 1925, Nanosegundos
gpp::gpp_world::integrateBodies, 515607104.00, 1925, Nanosegundos
gpp::gpp_world::internalUpdate, 2028131072.00, 1925, Nanosegundos
gpp::gpp_world::narrowPhase, 39849800.00, 1925, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 40807500.00, 1925, Nanosegundos
gpp::gpp_world::solveCollisions, 283040000.00, 1925, Nanosegundos
gpp::gpp_world::solvePair, 261416992.00, 33799, Nanosegundos
gpp::octree::broadPhase, 1121521152.00, 1925, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 1071398720.00, 59675, Nanosegundos
gpp::octree::create, 4900.00, 1, Nanosegundos
gpp::octree::insert, 184600.00, 31, Nanosegundos
gpp::octree::traverse, 1494932352.00, 35641, Nanosegundos
