Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 128776200.00, 736757, Nanosegundos
gpp::aabbOverlap, 182645200.00, 1195371, Nanosegundos
gpp::collisionBoxSphere, 10629600.00, 35724, Nanosegundos
gpp::degrees_to_radians, 4100.00, 93, Nanosegundos
gpp::getCollisionId, 5895800.00, 35724, Nanosegundos
gpp::gpp_world::addBody, 182000.00, 31, Nanosegundos
gpp::gpp_world::broadPhase, 1198948224.00, 1923, Nanosegundos
gpp::gpp_world::dispatchCollisions, 3087000.00, 1923, Nanosegundos
gpp::gpp_world::integrateBodies, 567606016.00, 1923, Nanosegundos
gpp::gpp_world::internalUpdate, 2196896512.00, 1923, Nanosegundos
gpp::gpp_world::narrowPhase, 43453900.00, 1923, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 45006100.00, 1923, Nanosegundos
gpp::gpp_world::solveCollisions, 313663296.00, 1923, Nanosegundos
gpp::gpp_world::solvePair, 289499712.00, 35838, Nanosegundos
gpp::octree::broadPhase, 1196342656.00, 1923, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 1144559360.00, 59613, Nanosegundos
gpp::octree::create, 4400.00, 1, Nanosegundos
gpp::octree::insert, 165100.00, 31, Nanosegundos
gpp::octree::traverse, 1609811712.00, 37678, Nanosegundos
