Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 116171200.00, 667100, Nanosegundos
gpp::aabbOverlap, 179535696.00, 1166035, Nanosegundos
gpp::collisionBoxSphere, 9476800.00, 32057, Nanosegundos
gpp::degrees_to_radians, 5200.00, 93, Nanosegundos
gpp::getCollisionId, 5136700.00, 32057, Nanosegundos
gpp::gpp_world::addBody, 222400.00, 31, Nanosegundos
gpp::gpp_world::broadPhase, 1161238400.00, 1923, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2954800.00, 1923, Nanosegundos
gpp::gpp_world::integrateBodies, 505747104.00, 1923, Nanosegundos
gpp::gpp_world::internalUpdate, 2047797504.00, 1923, Nanosegundos
gpp::gpp_world::narrowPhase, 38940400.00, 1923, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 42313200.00, 1923, Nanosegundos
gpp::gpp_world::solveCollisions, 273546304.00, 1923, Nanosegundos
gpp::gpp_world::solvePair, 252500608.00, 32176, Nanosegundos
gpp::octree::broadPhase, 1158545792.00, 1923, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 1104562048.00, 59613, Nanosegundos
gpp::octree::create, 4700.00, 1, Nanosegundos
gpp::octree::insert, 185800.00, 31, Nanosegundos
gpp::octree::traverse, 1521293056.00, 34011, Nanosegundos
