Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 123730200.00, 702578, Nanosegundos
gpp::aabbOverlap, 186536992.00, 1185716, Nanosegundos
gpp::collisionBoxSphere, 10289500.00, 33759, Nanosegundos
gpp::degrees_to_radians, 4100.00, 93, Nanosegundos
gpp::getCollisionId, 5529100.00, 33759, Nanosegundos
gpp::gpp_world::addBody, 184100.00, 31, Nanosegundos
gpp::gpp_world::broadPhase, 1211318656.00, 1924, Nanosegundos
gpp::gpp_world::dispatchCollisions, 3081200.00, 1924, Nanosegundos
gpp::gpp_world::integrateBodies, 543163008.00, 1924, Nanosegundos
gpp::gpp_world::internalUpdate, 2164310272.00, 1924, Nanosegundos
gpp::gpp_world::narrowPhase, 41221300.00, 1924, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 45215700.00, 1924, Nanosegundos
gpp::gpp_world::solveCollisions, 295702112.00, 1924, Nanosegundos
gpp::gpp_world::solvePair, 272935904.00, 33875, Nanosegundos
gpp::octree::broadPhase, 1208544256.00, 1924, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 1154878208.00, 59644, Nanosegundos
gpp::octree::create, 4800.00, 1, Nanosegundos
gpp::octree::insert, 167500.00, 31, Nanosegundos
gpp::octree::traverse, 1587065856.00, 34489, Nanosegundos
