Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 115496200.00, 740305, Nanosegundos
gpp::aabbOverlap, 166737408.00, 1197789, Nanosegundos
gpp::collisionBoxSphere, 9619700.00, 35908, Nanosegundos
gpp::degrees_to_radians, 4500.00, 93, Nanosegundos
gpp::getCollisionId, 5248700.00, 35908, Nanosegundos
gpp::gpp_world::addBody, 180200.00, 31, Nanosegundos
gpp::gpp_world::broadPhase, 1078772608.00, 1925, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2758300.00, 1925, Nanosegundos
gpp::gpp_world::integrateBodies, 501587296.00, 1925, Nanosegundos
gpp::gpp_world::internalUpdate, 1966318080.00, 1925, Nanosegundos
gpp::gpp_world::narrowPhase, 40299600.00, 1925, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 39258200.00, 1925, Nanosegundos
gpp::gpp_world::solveCollisions, 281880992.00, 1925, Nanosegundos
gpp::gpp_world::solvePair, 260403104.00, 36024, Nanosegundos
gpp::octree::broadPhase, 1076328960.00, 1925, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 1029469184.00, 59675, Nanosegundos
gpp::octree::create, 4300.00, 1, Nanosegundos
gpp::octree::insert, 165600.00, 31, Nanosegundos
gpp::octree::traverse, 1443702784.00, 37864, Nanosegundos
