Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 138942592.00, 942448, Nanosegundos
gpp::aabbOverlap, 682787584.00, 5026116, Nanosegundos
gpp::collisionBoxSphere, 10205100.00, 45251, Nanosegundos
gpp::degrees_to_radians, 6700.00, 123, Nanosegundos
gpp::getCollisionId, 6463200.00, 45251, Nanosegundos
gpp::gpp_world::addBody, 1473600.00, 41, Nanosegundos
gpp::gpp_world::broadPhase, 3743186176.00, 1925, Nanosegundos
gpp::gpp_world::dispatchCollisions, 3854200.00, 1925, Nanosegundos
gpp::gpp_world::integrateBodies, 701127104.00, 1925, Nanosegundos
gpp::gpp_world::internalUpdate, 4851141120.00, 1925, Nanosegundos
gpp::gpp_world::narrowPhase, 43201900.00, 1925, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 49426300.00, 1925, Nanosegundos
gpp::gpp_world::solveCollisions, 286961792.00, 1925, Nanosegundos
gpp::gpp_world::solvePair, 264963696.00, 45407, Nanosegundos
gpp::octree::broadPhase, 3740788480.00, 1925, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 3675160576.00, 79149, Nanosegundos
gpp::octree::create, 5000.00, 1, Nanosegundos
gpp::octree::insert, 1450500.00, 41, Nanosegundos
gpp::octree::traverse, 4246493440.00, 47224, Nanosegundos
