Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 153664608.00, 900507, Nanosegundos
gpp::aabbOverlap, 814934592.00, 4853932, Nanosegundos
gpp::collisionBoxSphere, 9951300.00, 43082, Nanosegundos
gpp::degrees_to_radians, 5900.00, 123, Nanosegundos
gpp::getCollisionId, 7930700.00, 43082, Nanosegundos
gpp::gpp_world::addBody, 1297900.00, 41, Nanosegundos
gpp::gpp_world::broadPhase, 4417827328.00, 1907, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2802100.00, 1907, Nanosegundos
gpp::gpp_world::integrateBodies, 784907008.00, 1907, Nanosegundos
gpp::gpp_world::internalUpdate, 5609113600.00, 1907, Nanosegundos
gpp::gpp_world::narrowPhase, 40545600.00, 1907, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 48559200.00, 1907, Nanosegundos
gpp::gpp_world::solveCollisions, 289958688.00, 1907, Nanosegundos
gpp::gpp_world::solvePair, 267931808.00, 43235, Nanosegundos
gpp::octree::broadPhase, 4414943232.00, 1907, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 4340752384.00, 78411, Nanosegundos
gpp::octree::create, 4500.00, 1, Nanosegundos
gpp::octree::insert, 1278100.00, 41, Nanosegundos
gpp::octree::traverse, 4982823424.00, 45038, Nanosegundos
