Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 168411808.00, 903827, Nanosegundos
gpp::aabbOverlap, 707185472.00, 4532528, Nanosegundos
gpp::collisionBoxSphere, 12047500.00, 43032, Nanosegundos
gpp::degrees_to_radians, 5800.00, 123, Nanosegundos
gpp::getCollisionId, 7075600.00, 43032, Nanosegundos
gpp::gpp_world::addBody, 977400.00, 41, Nanosegundos
gpp::gpp_world::broadPhase, 3893959424.00, 1902, Nanosegundos
gpp::gpp_world::dispatchCollisions, 3124900.00, 1902, Nanosegundos
gpp::gpp_world::integrateBodies, 1177871360.00, 1902, Nanosegundos
gpp::gpp_world::internalUpdate, 5872226304.00, 1902, Nanosegundos
gpp::gpp_world::narrowPhase, 49064700.00, 1902, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 48839900.00, 1902, Nanosegundos
gpp::gpp_world::solveCollisions, 674506688.00, 1902, Nanosegundos
gpp::gpp_world::solvePair, 641567616.00, 43184, Nanosegundos
gpp::octree::broadPhase, 3891214848.00, 1902, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 3821537024.00, 78174, Nanosegundos
gpp::octree::create, 15200.00, 1, Nanosegundos
gpp::octree::insert, 961500.00, 41, Nanosegundos
gpp::octree::traverse, 4834501120.00, 43982, Nanosegundos
