Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 139161792.00, 943714, Nanosegundos
gpp::aabbOverlap, 751751168.00, 5010209, Nanosegundos
gpp::collisionBoxSphere, 10023700.00, 45355, Nanosegundos
gpp::collisionSphereSphere, 1300.00, 3, Nanosegundos
gpp::degrees_to_radians, 7700.00, 123, Nanosegundos
gpp::getCollisionId, 6725800.00, 45358, Nanosegundos
gpp::gpp_world::addBody, 1517900.00, 41, Nanosegundos
gpp::gpp_world::broadPhase, 4038629888.00, 1921, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2831700.00, 1921, Nanosegundos
gpp::gpp_world::integrateBodies, 669768192.00, 1921, Nanosegundos
gpp::gpp_world::internalUpdate, 5112298496.00, 1921, Nanosegundos
gpp::gpp_world::narrowPhase, 40568100.00, 1921, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 44889500.00, 1921, Nanosegundos
gpp::gpp_world::solveCollisions, 292644800.00, 1921, Nanosegundos
gpp::gpp_world::solvePair, 270703200.00, 45508, Nanosegundos
gpp::octree::broadPhase, 4036013056.00, 1921, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 3966939904.00, 78985, Nanosegundos
gpp::octree::create, 4700.00, 1, Nanosegundos
gpp::octree::insert, 1489400.00, 41, Nanosegundos
gpp::octree::traverse, 4516436992.00, 47320, Nanosegundos
