Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 139242304.00, 839977, Nanosegundos
gpp::aabbOverlap, 414463296.00, 2577970, Nanosegundos
gpp::collisionBoxSphere, 11445000.00, 40552, Nanosegundos
gpp::degrees_to_radians, 5900.00, 108, Nanosegundos
gpp::getCollisionId, 6530500.00, 40552, Nanosegundos
gpp::gpp_world::addBody, 532100.00, 36, Nanosegundos
gpp::gpp_world::broadPhase, 2373582080.00, 1923, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2740800.00, 1923, Nanosegundos
gpp::gpp_world::integrateBodies, 618091520.00, 1923, Nanosegundos
gpp::gpp_world::internalUpdate, 3441892608.00, 1923, Nanosegundos
gpp::gpp_world::narrowPhase, 46978300.00, 1923, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 42493900.00, 1923, Nanosegundos
gpp::gpp_world::solveCollisions, 335682688.00, 1923, Nanosegundos
gpp::gpp_world::solvePair, 310246912.00, 40686, Nanosegundos
gpp::octree::broadPhase, 2371096832.00, 1923, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 2309438208.00, 69292, Nanosegundos
gpp::octree::create, 4400.00, 1, Nanosegundos
gpp::octree::insert, 513300.00, 36, Nanosegundos
gpp::octree::traverse, 2824127488.00, 42514, Nanosegundos
