Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 147288400.00, 758033, Nanosegundos
gpp::aabbOverlap, 459231200.00, 2408018, Nanosegundos
gpp::collisionBoxSphere, 11981000.00, 36335, Nanosegundos
gpp::degrees_to_radians, 4800.00, 108, Nanosegundos
gpp::getCollisionId, 6907600.00, 36335, Nanosegundos
gpp::gpp_world::addBody, 627700.00, 36, Nanosegundos
gpp::gpp_world::broadPhase, 2604665344.00, 1870, Nanosegundos
gpp::gpp_world::dispatchCollisions, 3009800.00, 1870, Nanosegundos
gpp::gpp_world::integrateBodies, 655797504.00, 1870, Nanosegundos
gpp::gpp_world::internalUpdate, 3725065472.00, 1870, Nanosegundos
gpp::gpp_world::narrowPhase, 48528000.00, 1870, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 45080800.00, 1870, Nanosegundos
gpp::gpp_world::solveCollisions, 342705696.00, 1870, Nanosegundos
gpp::gpp_world::solvePair, 316661408.00, 36472, Nanosegundos
gpp::octree::broadPhase, 2601725696.00, 1870, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 2529086208.00, 67384, Nanosegundos
gpp::octree::create, 5000.00, 1, Nanosegundos
gpp::octree::insert, 603400.00, 36, Nanosegundos
gpp::octree::traverse, 3076164096.00, 38245, Nanosegundos
