Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 158217296.00, 786710, Nanosegundos
gpp::aabbOverlap, 400903008.00, 2144938, Nanosegundos
gpp::collisionBoxSphere, 12826800.00, 37864, Nanosegundos
gpp::degrees_to_radians, 5200.00, 108, Nanosegundos
gpp::getCollisionId, 7353200.00, 37864, Nanosegundos
gpp::gpp_world::addBody, 414100.00, 36, Nanosegundos
gpp::gpp_world::broadPhase, 2351929856.00, 1871, Nanosegundos
gpp::gpp_world::dispatchCollisions, 3110600.00, 1871, Nanosegundos
gpp::gpp_world::integrateBodies, 689061632.00, 1871, Nanosegundos
gpp::gpp_world::internalUpdate, 3541967104.00, 1871, Nanosegundos
gpp::gpp_world::narrowPhase, 51678600.00, 1871, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 45621500.00, 1871, Nanosegundos
gpp::gpp_world::solveCollisions, 374460608.00, 1871, Nanosegundos
gpp::gpp_world::solvePair, 344810496.00, 37997, Nanosegundos
gpp::octree::broadPhase, 2349032448.00, 1871, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 2276969472.00, 67388, Nanosegundos
gpp::octree::create, 4700.00, 1, Nanosegundos
gpp::octree::insert, 395400.00, 36, Nanosegundos
gpp::octree::traverse, 2832958208.00, 38302, Nanosegundos
