Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 136523504.00, 773747, Nanosegundos
gpp::aabbOverlap, 409111616.00, 2415684, Nanosegundos
gpp::collisionBoxSphere, 10786800.00, 37219, Nanosegundos
gpp::degrees_to_radians, 4300.00, 108, Nanosegundos
gpp::getCollisionId, 6331300.00, 37219, Nanosegundos
gpp::gpp_world::addBody, 531700.00, 36, Nanosegundos
gpp::gpp_world::broadPhase, 2349643008.00, 1839, Nanosegundos
gpp::gpp_world::dispatchCollisions, 3226900.00, 1839, Nanosegundos
gpp::gpp_world::integrateBodies, 630176000.00, 1839, Nanosegundos
gpp::gpp_world::internalUpdate, 3431585792.00, 1839, Nanosegundos
gpp::gpp_world::narrowPhase, 44124800.00, 1839, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 52507800.00, 1839, Nanosegundos
gpp::gpp_world::solveCollisions, 325675808.00, 1839, Nanosegundos
gpp::gpp_world::solvePair, 301361696.00, 37354, Nanosegundos
gpp::octree::broadPhase, 2346967808.00, 1839, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 2281604608.00, 66268, Nanosegundos
gpp::octree::create, 4700.00, 1, Nanosegundos
gpp::octree::insert, 512800.00, 36, Nanosegundos
gpp::octree::traverse, 2790526208.00, 39098, Nanosegundos
