Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 24902100.00, 126937, Nanosegundos
gpp::aabbOverlap, 16972500.00, 93605, Nanosegundos
gpp::collisionBoxSphere, 2759600.00, 6172, Nanosegundos
gpp::degrees_to_radians, 900.00, 18, Nanosegundos
gpp::getCollisionId, 1614400.00, 6172, Nanosegundos
gpp::gpp_world::addBody, 49200.00, 6, Nanosegundos
gpp::gpp_world::broadPhase, 160122304.00, 1923, Nanosegundos
gpp::gpp_world::dispatchCollisions, 1948200.00, 1923, Nanosegundos
gpp::gpp_world::integrateBodies, 125363296.00, 1923, Nanosegundos
gpp::gpp_world::internalUpdate, 398106592.00, 1923, Nanosegundos
gpp::gpp_world::narrowPhase, 9245800.00, 1923, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 19101800.00, 1923, Nanosegundos
gpp::gpp_world::solveCollisions, 57994600.00, 1923, Nanosegundos
gpp::gpp_world::solvePair, 52679900.00, 6191, Nanosegundos
gpp::octree::broadPhase, 156911696.00, 1923, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 135746496.00, 11538, Nanosegundos
gpp::octree::create, 4500.00, 1, Nanosegundos
gpp::octree::insert, 44000.00, 6, Nanosegundos
gpp::octree::traverse, 241372400.00, 8101, Nanosegundos
