Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 25420700.00, 137927, Nanosegundos
gpp::aabbOverlap, 17527100.00, 98229, Nanosegundos
gpp::collisionBoxSphere, 2685100.00, 6750, Nanosegundos
gpp::degrees_to_radians, 900.00, 18, Nanosegundos
gpp::getCollisionId, 1500000.00, 6750, Nanosegundos
gpp::gpp_world::addBody, 49400.00, 6, Nanosegundos
gpp::gpp_world::broadPhase, 159845408.00, 1923, Nanosegundos
gpp::gpp_world::dispatchCollisions, 1583500.00, 1923, Nanosegundos
gpp::gpp_world::integrateBodies, 126643904.00, 1923, Nanosegundos
gpp::gpp_world::internalUpdate, 400361088.00, 1923, Nanosegundos
gpp::gpp_world::narrowPhase, 9260500.00, 1923, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 18875100.00, 1923, Nanosegundos
gpp::gpp_world::solveCollisions, 60439600.00, 1923, Nanosegundos
gpp::gpp_world::solvePair, 55021400.00, 6768, Nanosegundos
gpp::octree::broadPhase, 157119696.00, 1923, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 136221504.00, 11538, Nanosegundos
gpp::octree::create, 11400.00, 1, Nanosegundos
gpp::octree::insert, 42200.00, 6, Nanosegundos
gpp::octree::traverse, 243991104.00, 8679, Nanosegundos
