Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 29268900.00, 143904, Nanosegundos
gpp::aabbOverlap, 18797300.00, 100749, Nanosegundos
gpp::collisionBoxSphere, 3167900.00, 7065, Nanosegundos
gpp::degrees_to_radians, 1000.00, 18, Nanosegundos
gpp::getCollisionId, 1793300.00, 7065, Nanosegundos
gpp::gpp_world::addBody, 42500.00, 6, Nanosegundos
gpp::gpp_world::broadPhase, 172031808.00, 1923, Nanosegundos
gpp::gpp_world::dispatchCollisions, 1936100.00, 1923, Nanosegundos
gpp::gpp_world::integrateBodies, 145150000.00, 1923, Nanosegundos
gpp::gpp_world::internalUpdate, 443310112.00, 1923, Nanosegundos
gpp::gpp_world::narrowPhase, 11040800.00, 1923, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 20026300.00, 1923, Nanosegundos
gpp::gpp_world::solveCollisions, 68918704.00, 1923, Nanosegundos
gpp::gpp_world::solvePair, 62661500.00, 7082, Nanosegundos
gpp::octree::broadPhase, 169335296.00, 1923, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 148035600.00, 11538, Nanosegundos
gpp::octree::create, 4600.00, 1, Nanosegundos
gpp::octree::insert, 36800.00, 6, Nanosegundos
gpp::octree::traverse, 271501184.00, 8994, Nanosegundos
