Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 24300000.00, 130332, Nanosegundos
gpp::aabbOverlap, 16707600.00, 95052, Nanosegundos
gpp::collisionBoxSphere, 2730200.00, 6350, Nanosegundos
gpp::degrees_to_radians, 1300.00, 18, Nanosegundos
gpp::getCollisionId, 1462200.00, 6350, Nanosegundos
gpp::gpp_world::addBody, 44800.00, 6, Nanosegundos
gpp::gpp_world::broadPhase, 152001792.00, 1924, Nanosegundos
gpp::gpp_world::dispatchCollisions, 1790100.00, 1924, Nanosegundos
gpp::gpp_world::integrateBodies, 123229104.00, 1924, Nanosegundos
gpp::gpp_world::internalUpdate, 386618208.00, 1924, Nanosegundos
gpp::gpp_world::narrowPhase, 9715800.00, 1924, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 19891200.00, 1924, Nanosegundos
gpp::gpp_world::solveCollisions, 56513600.00, 1924, Nanosegundos
gpp::gpp_world::solvePair, 51405000.00, 6367, Nanosegundos
gpp::octree::broadPhase, 149390704.00, 1924, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 129805000.00, 11544, Nanosegundos
gpp::octree::create, 5200.00, 1, Nanosegundos
gpp::octree::insert, 38600.00, 6, Nanosegundos
gpp::octree::traverse, 232585200.00, 8280, Nanosegundos
