Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 23378400.00, 126798, Nanosegundos
gpp::aabbOverlap, 16167000.00, 93564, Nanosegundos
gpp::collisionBoxSphere, 3067700.00, 6164, Nanosegundos
gpp::degrees_to_radians, 700.00, 18, Nanosegundos
gpp::getCollisionId, 1485300.00, 6164, Nanosegundos
gpp::gpp_world::addBody, 37800.00, 6, Nanosegundos
gpp::gpp_world::broadPhase, 152288896.00, 1924, Nanosegundos
gpp::gpp_world::dispatchCollisions, 1719800.00, 1924, Nanosegundos
gpp::gpp_world::integrateBodies, 121243000.00, 1924, Nanosegundos
gpp::gpp_world::internalUpdate, 383446112.00, 1924, Nanosegundos
gpp::gpp_world::narrowPhase, 9809100.00, 1924, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 18810900.00, 1924, Nanosegundos
gpp::gpp_world::solveCollisions, 56114900.00, 1924, Nanosegundos
gpp::gpp_world::solvePair, 50943300.00, 6182, Nanosegundos
gpp::octree::broadPhase, 149772096.00, 1924, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 130381104.00, 11544, Nanosegundos
gpp::octree::create, 5000.00, 1, Nanosegundos
gpp::octree::insert, 32600.00, 6, Nanosegundos
gpp::octree::traverse, 232358896.00, 8094, Nanosegundos
