Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 60653100.00, 358520, Nanosegundos
gpp::aabbOverlap, 59647000.00, 384753, Nanosegundos
gpp::collisionBoxSphere, 5528200.00, 17344, Nanosegundos
gpp::degrees_to_radians, 1700.00, 48, Nanosegundos
gpp::getCollisionId, 3080700.00, 17344, Nanosegundos
gpp::gpp_world::addBody, 116600.00, 16, Nanosegundos
gpp::gpp_world::broadPhase, 434483008.00, 1922, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2062000.00, 1922, Nanosegundos
gpp::gpp_world::integrateBodies, 274657600.00, 1922, Nanosegundos
gpp::gpp_world::internalUpdate, 928394368.00, 1922, Nanosegundos
gpp::gpp_world::narrowPhase, 21891000.00, 1922, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 26598000.00, 1922, Nanosegundos
gpp::gpp_world::solveCollisions, 146899008.00, 1922, Nanosegundos
gpp::gpp_world::solvePair, 134950096.00, 17401, Nanosegundos
gpp::octree::broadPhase, 432177504.00, 1922, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 401110688.00, 30752, Nanosegundos
gpp::octree::create, 4200.00, 1, Nanosegundos
gpp::octree::insert, 105900.00, 16, Nanosegundos
gpp::octree::traverse, 629399488.00, 19283, Nanosegundos
