Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 66958100.00, 361721, Nanosegundos
gpp::aabbOverlap, 65696600.00, 386360, Nanosegundos
gpp::collisionBoxSphere, 5975300.00, 17511, Nanosegundos
gpp::degrees_to_radians, 2700.00, 48, Nanosegundos
gpp::getCollisionId, 3229200.00, 17511, Nanosegundos
gpp::gpp_world::addBody, 105300.00, 16, Nanosegundos
gpp::gpp_world::broadPhase, 482463904.00, 1924, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2132800.00, 1924, Nanosegundos
gpp::gpp_world::integrateBodies, 311208992.00, 1924, Nanosegundos
gpp::gpp_world::internalUpdate, 1038520000.00, 1924, Nanosegundos
gpp::gpp_world::narrowPhase, 23284600.00, 1924, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 28840900.00, 1924, Nanosegundos
gpp::gpp_world::solveCollisions, 166335104.00, 1924, Nanosegundos
gpp::gpp_world::solvePair, 153546496.00, 17568, Nanosegundos
gpp::octree::broadPhase, 479827808.00, 1924, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 444956512.00, 30784, Nanosegundos
gpp::octree::create, 12600.00, 1, Nanosegundos
gpp::octree::insert, 94700.00, 16, Nanosegundos
gpp::octree::traverse, 703574784.00, 19451, Nanosegundos
