Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 62298000.00, 330552, Nanosegundos
gpp::aabbOverlap, 63215800.00, 373214, Nanosegundos
gpp::collisionBoxSphere, 5508700.00, 15870, Nanosegundos
gpp::degrees_to_radians, 2100.00, 48, Nanosegundos
gpp::getCollisionId, 3026600.00, 15870, Nanosegundos
gpp::gpp_world::addBody, 104400.00, 16, Nanosegundos
gpp::gpp_world::broadPhase, 468698688.00, 1924, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2165100.00, 1924, Nanosegundos
gpp::gpp_world::integrateBodies, 283943616.00, 1924, Nanosegundos
gpp::gpp_world::internalUpdate, 978003904.00, 1924, Nanosegundos
gpp::gpp_world::narrowPhase, 22687200.00, 1924, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 27101600.00, 1924, Nanosegundos
gpp::gpp_world::solveCollisions, 150822096.00, 1924, Nanosegundos
gpp::gpp_world::solvePair, 138778304.00, 15929, Nanosegundos
gpp::octree::broadPhase, 466211200.00, 1924, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 431219712.00, 30784, Nanosegundos
gpp::octree::create, 4600.00, 1, Nanosegundos
gpp::octree::insert, 94000.00, 16, Nanosegundos
gpp::octree::traverse, 669052288.00, 17811, Nanosegundos
