Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 68544896.00, 369561, Nanosegundos
gpp::aabbOverlap, 63806300.00, 389536, Nanosegundos
gpp::collisionBoxSphere, 6037400.00, 17924, Nanosegundos
gpp::degrees_to_radians, 2800.00, 48, Nanosegundos
gpp::getCollisionId, 3366800.00, 17924, Nanosegundos
gpp::gpp_world::addBody, 112400.00, 16, Nanosegundos
gpp::gpp_world::broadPhase, 492750784.00, 1923, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2188100.00, 1923, Nanosegundos
gpp::gpp_world::integrateBodies, 314430688.00, 1923, Nanosegundos
gpp::gpp_world::internalUpdate, 1052468224.00, 1923, Nanosegundos
gpp::gpp_world::narrowPhase, 23955900.00, 1923, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 28769500.00, 1923, Nanosegundos
gpp::gpp_world::solveCollisions, 167115600.00, 1923, Nanosegundos
gpp::gpp_world::solvePair, 153900304.00, 17979, Nanosegundos
gpp::octree::broadPhase, 490218688.00, 1923, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 456502304.00, 30768, Nanosegundos
gpp::octree::create, 5100.00, 1, Nanosegundos
gpp::octree::insert, 101800.00, 16, Nanosegundos
gpp::octree::traverse, 718917696.00, 19863, Nanosegundos
