Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 56708200.00, 335353, Nanosegundos
gpp::aabbOverlap, 58861800.00, 375376, Nanosegundos
gpp::collisionBoxSphere, 5024200.00, 16122, Nanosegundos
gpp::degrees_to_radians, 2700.00, 48, Nanosegundos
gpp::getCollisionId, 2794900.00, 16122, Nanosegundos
gpp::gpp_world::addBody, 103500.00, 16, Nanosegundos
gpp::gpp_world::broadPhase, 438521312.00, 1925, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2093100.00, 1925, Nanosegundos
gpp::gpp_world::integrateBodies, 261915696.00, 1925, Nanosegundos
gpp::gpp_world::internalUpdate, 921752704.00, 1925, Nanosegundos
gpp::gpp_world::narrowPhase, 19992900.00, 1925, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 30927700.00, 1925, Nanosegundos
gpp::gpp_world::solveCollisions, 144756608.00, 1925, Nanosegundos
gpp::gpp_world::solvePair, 133607200.00, 16181, Nanosegundos
gpp::octree::broadPhase, 435941792.00, 1925, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 402230912.00, 30800, Nanosegundos
gpp::octree::create, 4800.00, 1, Nanosegundos
gpp::octree::insert, 93700.00, 16, Nanosegundos
gpp::octree::traverse, 623022912.00, 18063, Nanosegundos
