Info: 0.00:122.94, v=6.40, t=25.00
Info: 0.00:123.79, v=4.27, t=25.20
Info: 0.00:124.24, v=2.24, t=25.40
Info: 0.00:124.29, v=0.26, t=25.60
Info: 0.00:123.95, v=1.71, t=25.80
Info: 0.00:123.22, v=3.66, t=26.00
Info: 0.00:122.11, v=5.56, t=26.20
Info: 0.00:120.63, v=7.40, t=26.40
Info: 0.00:118.80, v=9.14, t=26.60
Info: 0.00:116.64, v=10.77, t=26.80
Info: 0.00:114.19, v=12.26, t=27.00
Info: 0.00:111.47, v=13.62, t=27.20
Info: 0.00:108.50, v=14.83, t=27.40
Info: 0.00:105.32, v=15.91, t=27.60
Info: 0.00:101.95, v=16.85, t=27.80
Info: 0.00:98.42, v=17.66, t=28.00
Info: 0.00:94.75, v=18.37, t=28.20
Info: 0.00:90.95, v=18.97, t=28.40
Info: 0.00:87.06, v=19.48, t=28.60
Info: 0.00:83.08, v=19.91, t=28.80
Info: 0.00:79.02, v=20.27, t=29.00
Info: 0.00:74.91, v=20.58, t=29.20
Info: 0.00:70.74, v=20.83, t=29.40
Info: 0.00:66.53, v=21.04, t=29.60
Info: 0.00:62.29, v=21.22, t=29.80
Info: 0.00:58.01, v=21.36, t=30.00
Info: 0.00:53.72, v=21.48, t=30.20
Info: 0.00:49.40, v=21.58, t=30.40
Info: 0.00:45.07, v=21.67, t=30.60
Info: 0.00:40.72, v=21.73, t=30.80
Info: 0.00:36.36, v=21.79, t=31.00
Info: 0.00:31.99, v=21.84, t=31.20
Info: 0.00:27.62, v=21.88, t=31.40
Info: 0.00:23.24, v=21.91, t=31.60
Info: 0.00:18.85, v=21.93, t=31.80
Info: 0.00:14.46, v=21.95, t=32.00
Info: 0.00:10.07, v=21.97, t=32.20
Info: 0.00:5.67, v=21.99, t=32.40
Info: 0.00:1.27, v=22.00, t=32.60
Info: Aplicando série de impulsos...
Info: 0.00:6.12, v=24.25, t=32.80
Info: 0.00:15.35, v=46.13, t=33.00
Info: 0.00:27.71, v=61.80, t=33.20
Info: 0.00:41.84, v=70.64, t=33.40
Info: 0.00:56.79, v=74.76, t=33.60
Info: 0.00:72.08, v=76.47, t=33.80
Info: 0.00:87.51, v=77.13, t=34.00
Info: 0.00:102.98, v=77.38, t=34.20
Info: 0.00:118.48, v=77.48, t=34.40
Info: 0.00:133.98, v=77.51, t=34.60
Info: Interrompendo impulsos...
Info: 0.00:149.49, v=77.53, t=34.80
Info: 0.00:159.75, v=51.32, t=35.00
Info: 0.00:167.50, v=38.73, t=35.20
Info: 0.00:173.64, v=30.72, t=35.40
Info: 0.00:178.63, v=24.95, t=35.60
Info: 0.00:182.72, v=20.48, t=35.80
Info: 0.00:186.09, v=16.82, t=36.00
Info: 0.00:188.83, v=13.72, t=36.20
Info: 0.00:191.03, v=11.00, t=36.40
Info: 0.00:192.74, v=8.55, t=36.60
Info: 0.00:194.00, v=6.29, t=36.80
Info: 0.00:194.83, v=4.17, t=37.00
Info: 0.00:195.26, v=2.14, t=37.20
Info: 0.00:195.29, v=0.16, t=37.40
Info: 0.00:194.93, v=1.81, t=37.60
Info: 0.00:194.18, v=3.75, t=37.80
Info: 0.00:193.05, v=5.66, t=38.00
Info: 0.00:191.55, v=7.49, t=38.20
Info: 0.00:189.70, v=9.23, t=38.40
Info: 0.00:187.53, v=10.85, t=38.60
Info: 0.00:185.07, v=12.33, t=38.80
Info: 0.00:182.33, v=13.68, t=39.00
Info: 0.00:179.35, v=14.89, t=39.20
Info: 0.00:176.16, v=15.96, t=39.40
Info: 0.00:172.78, v=16.89, t=39.60
Info: 0.00:169.24, v=17.70, t=39.80
Info: 0.00:165.56, v=18.40, t=40.00
Info: 0.00:161.76, v=19.00, t=40.20
Info: 0.00:157.86, v=19.50, t=40.40
Info: 0.00:153.88, v=19.93, t=40.60
Info: 0.00:149.82, v=20.29, t=40.80
Info: 0.00:145.70, v=20.59, t=41.00
Info: 0.00:141.53, v=20.84, t=41.20
Info: 0.00:137.32, v=21.05, t=41.40
Info: 0.00:133.08, v=21.23, t=41.60
Info: 0.00:128.80, v=21.37, t=41.80
Info: 0.00:124.51, v=21.49, t=42.00
Info: 0.00:120.19, v=21.59, t=42.20
Info: 0.00:115.85, v=21.67, t=42.40
Info: 0.00:111.51, v=21.74, t=42.60
Info: 0.00:107.15, v=21.79, t=42.80
Info: 0.00:102.78, v=21.84, t=43.00
Info: 0.00:98.40, v=21.88, t=43.20
Info: 0.00:94.02, v=21.91, t=43.40
Info: 0.00:89.64, v=21.93, t=43.60
Info: 0.00:85.25, v=21.96, t=43.80
Info: 0.00:80.85, v=21.97, t=44.00
Info: 0.00:76.45, v=21.99, t=44.20
Info: 0.00:72.05, v=22.00, t=44.40
Info: 0.00:67.65, v=22.01, t=44.60
Info: 0.00:63.25, v=22.02, t=44.80
Info: 0.00:58.84, v=22.02, t=45.00
Info: 0.00:54.44, v=22.03, t=45.20
Info: 0.00:50.03, v=22.03, t=45.40
Info: 0.00:45.62, v=22.04, t=45.60
Info: 0.00:41.22, v=22.04, t=45.80
Info: 0.00:36.81, v=22.04, t=46.00
Info: 0.00:32.40, v=22.04, t=46.20
Info: 0.00:27.99, v=22.05, t=46.40
Info: 0.00:23.58, v=22.05, t=46.60
Info: 0.00:19.17, v=22.05, t=46.80
Info: 0.00:14.76, v=22.05, t=47.00
Info: 0.00:10.35, v=22.05, t=47.20
Info: 0.00:5.94, v=22.05, t=47.40
Info: 0.00:1.53, v=22.05, t=47.60
Info: Aplicando série de impulsos...
Info: 0.00:11.63, v=50.47, t=47.80
Info: 0.00:29.76, v=90.66, t=48.00
Info: 0.00:51.35, v=107.97, t=48.20
Info: 0.00:73.63, v=111.41, t=48.40
Info: 0.00:95.99, v=111.80, t=48.60
Info: 0.00:118.36, v=111.84, t=48.80
Info: 0.00:140.73, v=111.85, t=49.00
Info: 0.00:163.10, v=111.85, t=49.20
Info: 0.00:185.47, v=111.85, t=49.40
Info: 0.00:207.84, v=111.85, t=49.60
Info: Interrompendo impulsos...
Info: 0.00:230.21, v=111.85, t=49.80
Info: 0.00:242.09, v=59.42, t=50.00
Info: 0.00:250.73, v=43.21, t=50.20
Info: 0.00:257.48, v=33.72, t=50.40
Info: 0.00:262.91, v=27.17, t=50.60
Info: 0.00:267.36, v=22.23, t=50.80
Info: 0.00:271.01, v=18.27, t=51.00
