Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 50520100.00, 229853, Nanosegundos
gpp::aabbOverlap, 41797100.00, 203732, Nanosegundos
gpp::collisionBoxSphere, 4809700.00, 11134, Nanosegundos
gpp::degrees_to_radians, 1800.00, 33, Nanosegundos
gpp::getCollisionId, 2532100.00, 11134, Nanosegundos
gpp::gpp_world::addBody, 83900.00, 11, Nanosegundos
gpp::gpp_world::broadPhase, 343430912.00, 1820, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2372900.00, 1820, Nanosegundos
gpp::gpp_world::integrateBodies, 245622000.00, 1820, Nanosegundos
gpp::gpp_world::internalUpdate, 787474304.00, 1820, Nanosegundos
gpp::gpp_world::narrowPhase, 18046000.00, 1820, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 29177300.00, 1820, Nanosegundos
gpp::gpp_world::solveCollisions, 121948200.00, 1820, Nanosegundos
gpp::gpp_world::solvePair, 111645904.00, 11173, Nanosegundos
gpp::octree::broadPhase, 340651104.00, 1820, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 308841216.00, 20020, Nanosegundos
gpp::octree::create, 4500.00, 1, Nanosegundos
gpp::octree::insert, 76600.00, 11, Nanosegundos
gpp::octree::traverse, 511244608.00, 12965, Nanosegundos
