Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 47954200.00, 262814, Nanosegundos
gpp::aabbOverlap, 38702100.00, 223669, Nanosegundos
gpp::collisionBoxSphere, 4616000.00, 12815, Nanosegundos
gpp::degrees_to_radians, 1300.00, 33, Nanosegundos
gpp::getCollisionId, 2574000.00, 12815, Nanosegundos
gpp::gpp_world::addBody, 111900.00, 11, Nanosegundos
gpp::gpp_world::broadPhase, 296149408.00, 1923, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2061600.00, 1923, Nanosegundos
gpp::gpp_world::integrateBodies, 223939008.00, 1923, Nanosegundos
gpp::gpp_world::internalUpdate, 702814400.00, 1923, Nanosegundos
gpp::gpp_world::narrowPhase, 17289900.00, 1923, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 23678300.00, 1923, Nanosegundos
gpp::gpp_world::solveCollisions, 116742704.00, 1923, Nanosegundos
gpp::gpp_world::solvePair, 106893400.00, 12852, Nanosegundos
gpp::octree::broadPhase, 293572896.00, 1923, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 267537904.00, 21153, Nanosegundos
gpp::octree::create, 7100.00, 1, Nanosegundos
gpp::octree::insert, 99600.00, 11, Nanosegundos
gpp::octree::traverse, 453566208.00, 14749, Nanosegundos
