Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 39178800.00, 198437, Nanosegundos
gpp::aabbOverlap, 35064500.00, 193741, Nanosegundos
gpp::collisionBoxSphere, 3832500.00, 9452, Nanosegundos
gpp::degrees_to_radians, 1900.00, 33, Nanosegundos
gpp::getCollisionId, 2077700.00, 9452, Nanosegundos
gpp::gpp_world::addBody, 89600.00, 11, Nanosegundos
gpp::gpp_world::broadPhase, 287453600.00, 1875, Nanosegundos
gpp::gpp_world::dispatchCollisions, 1921000.00, 1875, Nanosegundos
gpp::gpp_world::integrateBodies, 182938800.00, 1875, Nanosegundos
gpp::gpp_world::internalUpdate, 632011328.00, 1875, Nanosegundos
gpp::gpp_world::narrowPhase, 14245300.00, 1875, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 26808100.00, 1875, Nanosegundos
gpp::gpp_world::solveCollisions, 93851904.00, 1875, Nanosegundos
gpp::gpp_world::solvePair, 85836800.00, 9492, Nanosegundos
gpp::octree::broadPhase, 284679296.00, 1875, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 255833504.00, 20625, Nanosegundos
gpp::octree::create, 4600.00, 1, Nanosegundos
gpp::octree::insert, 80600.00, 11, Nanosegundos
gpp::octree::traverse, 408455392.00, 11338, Nanosegundos
