Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 36766600.00, 211539, Nanosegundos
gpp::aabbOverlap, 31998800.00, 202014, Nanosegundos
gpp::collisionBoxSphere, 3496700.00, 10116, Nanosegundos
gpp::degrees_to_radians, 1600.00, 33, Nanosegundos
gpp::getCollisionId, 1828800.00, 10116, Nanosegundos
gpp::gpp_world::addBody, 88500.00, 11, Nanosegundos
gpp::gpp_world::broadPhase, 257091200.00, 1922, Nanosegundos
gpp::gpp_world::dispatchCollisions, 1683300.00, 1922, Nanosegundos
gpp::gpp_world::integrateBodies, 167174304.00, 1922, Nanosegundos
gpp::gpp_world::internalUpdate, 572681088.00, 1922, Nanosegundos
gpp::gpp_world::narrowPhase, 13256600.00, 1922, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 23576300.00, 1922, Nanosegundos
gpp::gpp_world::solveCollisions, 87858304.00, 1922, Nanosegundos
gpp::gpp_world::solvePair, 80515200.00, 10157, Nanosegundos
gpp::octree::broadPhase, 254705792.00, 1922, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 228511904.00, 21142, Nanosegundos
gpp::octree::create, 4400.00, 1, Nanosegundos
gpp::octree::insert, 80500.00, 11, Nanosegundos
gpp::octree::traverse, 369669408.00, 12049, Nanosegundos
