Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 54458900.00, 251444, Nanosegundos
gpp::aabbOverlap, 43245400.00, 215880, Nanosegundos
gpp::collisionBoxSphere, 5290300.00, 12243, Nanosegundos
gpp::degrees_to_radians, 1600.00, 33, Nanosegundos
gpp::getCollisionId, 2768200.00, 12243, Nanosegundos
gpp::gpp_world::addBody, 80400.00, 11, Nanosegundos
gpp::gpp_world::broadPhase, 338797088.00, 1872, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2485900.00, 1872, Nanosegundos
gpp::gpp_world::integrateBodies, 248131104.00, 1872, Nanosegundos
gpp::gpp_world::internalUpdate, 796205696.00, 1872, Nanosegundos
gpp::gpp_world::narrowPhase, 20382700.00, 1872, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 26596700.00, 1872, Nanosegundos
gpp::gpp_world::solveCollisions, 133148096.00, 1872, Nanosegundos
gpp::gpp_world::solvePair, 121613200.00, 12279, Nanosegundos
gpp::octree::broadPhase, 335939584.00, 1872, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 305332288.00, 20592, Nanosegundos
gpp::octree::create, 4700.00, 1, Nanosegundos
gpp::octree::insert, 72500.00, 11, Nanosegundos
gpp::octree::traverse, 512577408.00, 14126, Nanosegundos
