Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 96464000.00, 567112, Nanosegundos
gpp::aabbOverlap, 137062096.00, 851372, Nanosegundos
gpp::collisionBoxSphere, 8148000.00, 27334, Nanosegundos
gpp::degrees_to_radians, 4800.00, 78, Nanosegundos
gpp::getCollisionId, 4604000.00, 27334, Nanosegundos
gpp::gpp_world::addBody, 170600.00, 26, Nanosegundos
gpp::gpp_world::broadPhase, 930508608.00, 1900, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2335400.00, 1900, Nanosegundos
gpp::gpp_world::integrateBodies, 461388416.00, 1900, Nanosegundos
gpp::gpp_world::internalUpdate, 1728230400.00, 1900, Nanosegundos
gpp::gpp_world::narrowPhase, 32567500.00, 1900, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 38780500.00, 1900, Nanosegundos
gpp::gpp_world::solveCollisions, 237626704.00, 1900, Nanosegundos
gpp::gpp_world::solvePair, 219328896.00, 27429, Nanosegundos
gpp::octree::broadPhase, 927859072.00, 1900, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 878405824.00, 49400, Nanosegundos
gpp::octree::create, 5400.00, 1, Nanosegundos
gpp::octree::insert, 147200.00, 26, Nanosegundos
gpp::octree::traverse, 1267987200.00, 29260, Nanosegundos
