Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 92989104.00, 610742, Nanosegundos
gpp::aabbOverlap, 117304096.00, 877492, Nanosegundos
gpp::collisionBoxSphere, 7663300.00, 29600, Nanosegundos
gpp::degrees_to_radians, 5100.00, 78, Nanosegundos
gpp::getCollisionId, 4231800.00, 29600, Nanosegundos
gpp::gpp_world::addBody, 159600.00, 26, Nanosegundos
gpp::gpp_world::broadPhase, 794808896.00, 1924, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2426900.00, 1924, Nanosegundos
gpp::gpp_world::integrateBodies, 412524416.00, 1924, Nanosegundos
gpp::gpp_world::internalUpdate, 1526845056.00, 1924, Nanosegundos
gpp::gpp_world::narrowPhase, 31594900.00, 1924, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 39456100.00, 1924, Nanosegundos
gpp::gpp_world::solveCollisions, 225323296.00, 1924, Nanosegundos
gpp::gpp_world::solvePair, 207571008.00, 29695, Nanosegundos
gpp::octree::broadPhase, 792597696.00, 1924, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 753685120.00, 50024, Nanosegundos
gpp::octree::create, 4700.00, 1, Nanosegundos
gpp::octree::insert, 144500.00, 26, Nanosegundos
gpp::octree::traverse, 1092432256.00, 31550, Nanosegundos
