Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 94040600.00, 592978, Nanosegundos
gpp::aabbOverlap, 127573296.00, 869354, Nanosegundos
gpp::collisionBoxSphere, 8255100.00, 28666, Nanosegundos
gpp::degrees_to_radians, 3300.00, 78, Nanosegundos
gpp::getCollisionId, 4529300.00, 28666, Nanosegundos
gpp::gpp_world::addBody, 171300.00, 26, Nanosegundos
gpp::gpp_world::broadPhase, 896201408.00, 1922, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2528900.00, 1922, Nanosegundos
gpp::gpp_world::integrateBodies, 457579392.00, 1922, Nanosegundos
gpp::gpp_world::internalUpdate, 1680115968.00, 1922, Nanosegundos
gpp::gpp_world::narrowPhase, 32661700.00, 1922, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 37846800.00, 1922, Nanosegundos
gpp::gpp_world::solveCollisions, 231188992.00, 1922, Nanosegundos
gpp::gpp_world::solvePair, 212872608.00, 28764, Nanosegundos
gpp::octree::broadPhase, 893821120.00, 1922, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 848824832.00, 49972, Nanosegundos
gpp::octree::create, 4800.00, 1, Nanosegundos
gpp::octree::insert, 156600.00, 26, Nanosegundos
gpp::octree::traverse, 1234355456.00, 30614, Nanosegundos
